Time,Type,Trial,L Dia [mm],L Area [mm],R Dia [mm],R Area [mm],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Trigger
554508401,SMP,1,4.48,4.84,4.66,4.84,93.37,654.1,71.97,651.87,0
554510410,SMP,1,4.48,4.66,4.66,4.66,91.53,648.59,75.54,653.0,0
554512387,SMP,1,4.48,4.66,4.66,4.84,95.24,645.51,71.99,646.49,0
554514371,SMP,1,4.48,4.66,4.84,4.66,98.12,657.45,74.36,648.74,0
554516367,SMP,1,4.48,4.84,4.66,4.66,96.67,641.78,74.62,648.69,0
554518395,SMP,1,4.48,4.84,4.84,4.66,92.34,644.79,81.08,651.82,0
554520392,SMP,1,4.48,4.84,4.66,4.66,89.61,652.23,79.95,648.5,0
554522393,SMP,1,4.48,4.84,4.66,4.48,95.38,639.69,80.04,646.0,0
554524395,SMP,1,4.48,4.66,4.66,4.66,93.12,659.35,76.23,644.88,0
554526392,SMP,1,4.48,4.84,4.66,4.84,97.18,648.89,73.9,651.27,0
554528400,SMP,1,4.48,4.84,4.84,4.66,100.42,652.94,82.32,657.87,0
554530402,SMP,1,4.48,5.01,4.66,4.66,93.42,639.98,80.93,655.5,0
554532402,SMP,1,4.48,4.84,4.66,4.84,96.24,653.88,76.68,650.73,0
554534402,SMP,1,4.48,4.66,4.84,4.84,93.71,642.33,81.48,654.53,0
554536402,SMP,1,4.48,5.01,4.66,4.66,90.53,646.94,86.55,660.55,0
554538402,SMP,1,4.48,5.01,4.66,4.66,92.91,647.51,78.13,650.53,0
554540406,SMP,1,4.48,4.66,4.66,4.66,91.49,652.25,80.07,653.39,0
554542402,SMP,1,4.48,4.84,4.84,4.66,94.86,649.04,78.28,654.23,0
554544409,SMP,1,4.48,4.84,4.84,4.84,86.62,644.92,81.1,655.5,0
554546408,SMP,1,4.48,5.01,4.84,4.66,87.94,651.86,82.33,652.07,0
554548404,SMP,1,4.48,4.84,4.84,4.66,89.92,647.31,86.39,661.23,0
554550401,SMP,1,4.48,4.66,4.84,4.48,97.88,654.84,85.36,654.62,0
554552401,SMP,1,4.48,4.84,4.66,4.84,90.59,655.72,83.17,657.64,0
554554401,SMP,1,4.66,4.66,4.84,4.84,82.71,645.95,80.23,657.39,0
554556403,SMP,1,4.48,4.84,4.84,4.66,89.28,646.86,86.23,653.29,0
554558398,SMP,1,4.66,4.84,4.66,4.84,92.69,646.39,83.41,654.67,0
554560408,SMP,1,4.3,4.84,4.66,4.66,85.68,653.25,77.05,654.43,0
554562402,SMP,1,4.48,4.84,4.66,4.66,93.51,650.54,84.03,659.66,0
554564402,SMP,1,4.48,4.66,4.66,4.84,94.52,654.32,84.76,659.8,0
554566402,SMP,1,4.66,4.84,4.66,4.66,94.88,651.66,79.07,660.24,0
554568402,SMP,1,4.48,4.84,4.66,4.84,95.24,643.06,82.16,658.38,0
554570401,SMP,1,4.48,4.84,4.84,4.66,92.09,648.64,80.49,655.68,0
554572405,SMP,1,4.48,5.01,4.66,4.84,92.5,658.27,82.81,657.0,0
554574417,SMP,1,4.48,4.84,4.66,4.66,92.23,651.49,82.57,661.99,0
554576410,SMP,1,4.48,4.84,4.66,4.66,92.53,650.09,80.25,658.27,0
554578411,SMP,1,4.3,4.84,4.66,4.84,90.65,650.88,85.36,658.33,0
554580413,SMP,1,4.48,4.84,4.84,4.66,85.57,645.43,79.67,657.82,0
554582407,SMP,1,4.66,4.84,4.66,4.66,88.1,647.14,80.43,655.92,0
554584392,SMP,1,4.48,4.66,4.66,4.66,90.74,650.05,91.38,661.83,0
554586427,SMP,1,4.3,4.66,4.66,4.84,92.8,650.46,87.05,663.01,0
554588432,SMP,1,4.66,4.84,4.66,4.66,98.94,653.7,91.52,658.87,0
554590412,SMP,1,4.48,5.01,4.66,4.84,92.06,650.43,83.19,660.94,0
554592413,SMP,1,4.48,4.84,4.66,4.48,95.1,657.14,83.82,652.38,0
554594414,SMP,1,4.48,5.01,4.66,4.66,91.84,653.99,91.41,668.63,0
554596415,SMP,1,4.48,4.84,4.66,4.66,102.74,662.25,86.62,662.2,0
554598412,SMP,1,4.66,4.66,4.66,4.66,93.73,661.97,89.3,664.12,0
